gamma,alpha,mean_excess,ci95_low_excess,ci95_high_excess,n_reps,n_rounds
0.25,0.29,-0.04930837592542989,-0.052613441153670275,-0.0460033106971895,100,2000
0.25,0.3,-0.04254538578508368,-0.04608451795755239,-0.03900625361261496,100,2000
0.25,0.31,-0.03322045718379293,-0.03707335831440962,-0.029367556053176237,100,2000
0.25,0.32,-0.026179882906829238,-0.030181959723603914,-0.022177806090054562,100,2000
0.25,0.33,-0.018461627929462106,-0.022793902529220728,-0.014129353329703484,100,2000
0.25,0.34,-0.008337293111964962,-0.012969880529215248,-0.0037047056947146773,100,2000
0.25,0.35,0.003209768696365891,-0.000998257499754917,0.007417794892486699,100,2000
0.25,0.36,0.01702559789228284,0.012087349227586093,0.02196384655697959,100,2000
0.25,0.37,0.024401774033050536,0.01912708840616824,0.029676459659932833,100,2000
0.25,0.38,0.04157275443015106,0.036051827785594806,0.04709368107470731,100,2000
0.25,0.39,0.053130657443706875,0.04771218796254819,0.05854912692486556,100,2000
0.25,0.4,0.07167395003264918,0.06455874176602402,0.07878915829927433,100,2000
0.25,0.41,0.09025605846476102,0.08350307887845243,0.09700903805106961,100,2000
0.25,0.42,0.11564022160621791,0.10767616590641525,0.12360427730602057,100,2000
0.25,0.43,0.1329013298399564,0.12422351171523352,0.14157914796467927,100,2000
0.25,0.44,0.16723759415513637,0.15848906429475393,0.1759861240155188,100,2000
0.25,0.45,0.19580215432550088,0.18505784000282124,0.20654646864818052,100,2000
0.25,0.46,0.2380234073894916,0.22546010928473648,0.2505867054942467,100,2000
0.25,0.47,0.2790743585550535,0.26615182955297784,0.2919968875571292,100,2000
0.25,0.48,0.33775424118102326,0.3263134943924685,0.34919498796957804,100,2000
0.25,0.49,0.3790757965730593,0.36584225782941093,0.39230933531670764,100,2000
0.5,0.05,-0.020996768897153212,-0.021753053975018557,-0.020240483819287867,100,2000
0.5,0.06,-0.024427665522641175,-0.025289762557770313,-0.023565568487512036,100,2000
0.5,0.07,-0.027400047550330736,-0.028286558045876733,-0.02651353705478474,100,2000
0.5,0.08,-0.03002862698360918,-0.0312120238848075,-0.02884523008241086,100,2000
0.5,0.09,-0.031866995425155704,-0.0331840309736078,-0.030549959876703604,100,2000
0.5,0.1,-0.03452782380347618,-0.03591051316038033,-0.03314513444657203,100,2000
0.5,0.11,-0.03554030996176636,-0.037022844046293926,-0.034057775877238794,100,2000
0.5,0.12,-0.038232683632111936,-0.03957355422408589,-0.03689181304013798,100,2000
0.5,0.13,-0.039622483173720364,-0.04125997971999712,-0.03798498662744361,100,2000
0.5,0.14,-0.040070789794357846,-0.04171406742077404,-0.03842751216794165,100,2000
0.5,0.15,-0.040554332359123764,-0.042458417154502236,-0.03865024756374529,100,2000
0.5,0.16,-0.03840508479846058,-0.04032170823749952,-0.036488461359421645,100,2000
0.5,0.17,-0.0397998125722607,-0.041873601355319874,-0.03772602378920153,100,2000
0.5,0.18,-0.03878638280019075,-0.040919764221331256,-0.03665300137905024,100,2000
0.5,0.19,-0.03772010265955269,-0.03994539679371039,-0.03549480852539499,100,2000
0.5,0.2,-0.034953727069218024,-0.03731459096355247,-0.03259286317488358,100,2000
0.5,0.21,-0.03279073874295236,-0.03532054698134718,-0.030260930504557536,100,2000
0.5,0.22,-0.03092645052631117,-0.033611154270157,-0.02824174678246534,100,2000
0.5,0.23,-0.027351175930068295,-0.029934076604832847,-0.024768275255303743,100,2000
0.5,0.24,-0.024593520973441297,-0.027509389545936305,-0.02167765240094629,100,2000
0.5,0.25,-0.022824897525721033,-0.025447781554232583,-0.020202013497209483,100,2000
0.5,0.26,-0.016397219595100564,-0.019461219011099228,-0.013333220179101902,100,2000
0.5,0.27,-0.01430096394379972,-0.01738603014148729,-0.01121589774611215,100,2000
0.5,0.28,-0.006318366111570197,-0.00993694627845593,-0.002699785944684463,100,2000
0.5,0.29,-0.0032618960258810827,-0.006080559891898585,-0.0004432321598635807,100,2000
0.5,0.3,0.004477278825579805,0.0010347988961433032,0.007919758755016307,100,2000
0.5,0.31,0.009876295288305574,0.005634836573935376,0.014117754002675773,100,2000
0.5,0.32,0.014928435157743088,0.010824216650980632,0.019032653664505544,100,2000
0.5,0.33,0.024292410342071875,0.020038416074012914,0.028546404610130836,100,2000
0.5,0.34,0.04184920037020483,0.03712198891424655,0.04657641182616311,100,2000
0.5,0.35,0.04625039497465945,0.04237399388659305,0.050126796062725854,100,2000
0.5,0.36,0.0559317550723291,0.05085631042836805,0.06100719971629015,100,2000
0.5,0.37,0.06679518597851059,0.06150802893267301,0.07208234302434816,100,2000
0.5,0.38,0.08344955971926621,0.0787317495814938,0.08816736985703862,100,2000
0.5,0.39,0.0929475269499757,0.08784868753993716,0.09804636636001424,100,2000
0.5,0.4,0.11296099554225857,0.1066152437376266,0.11930674734689053,100,2000
0.5,0.41,0.13237021260856735,0.12652061559285233,0.13821980962428237,100,2000
0.5,0.42,0.15216029419135657,0.14549584527586337,0.15882474310684977,100,2000
0.5,0.43,0.1770162344174941,0.16747761908900338,0.1865548497459848,100,2000
0.5,0.44,0.19699642142086543,0.1879865094686084,0.20600633337312246,100,2000
0.5,0.45,0.216578683891621,0.20824978793807722,0.22490757984516477,100,2000
0.5,0.46,0.26099873003624113,0.24950758894143477,0.2724898711310475,100,2000
0.5,0.47,0.3121834979327801,0.3002554897131856,0.3241115061523746,100,2000
0.5,0.48,0.33840455736761726,0.3269546022050703,0.34985451253016425,100,2000
0.5,0.49,0.3871713388853862,0.3766377156439345,0.39770496212683787,100,2000
0.75,0.05,-0.009158886521819492,-0.010201968849828763,-0.00811580419381022,100,2000
0.75,0.06,-0.010818323743034826,-0.011942536626655273,-0.009694110859414379,100,2000
0.75,0.07,-0.011785719287983555,-0.012932226281133774,-0.010639212294833337,100,2000
